Gene_Symbol,Day,Value,Cluster
YWHAQ,d19,-0.097416314,2
YWHAQ,d26,0.115693648,2
YWHAQ,d33,-0.861664487,2
YWHAQ,d49,-0.460237835,2
YWHAQ,d63,-0.646593481,2
YWHAQ,d77,-1.133044775,2
ADAM17,d0,-2.10430433,3
ADAM17,d7,0.387953267,3
ADAM17,d12,1.50469175,3
ADAM17,d19,0.18311018,3
ADAM17,d26,0.199284064,3
ADAM17,d33,0.513127091,3
ADAM17,d49,0.402262225,3
ADAM17,d63,-0.357175653,3
ADAM17,d77,-0.728948595,3
ALOX5,d0,-0.657190016,3
ALOX5,d7,1.486230323,3
ALOX5,d12,1.608818372,3
ALOX5,d19,0.55286734,3
ALOX5,d26,-0.981322613,3
ALOX5,d33,-0.446065008,3
ALOX5,d49,-0.946541949,3
ALOX5,d63,-0.637892693,3
ALOX5,d77,0.021096243,3
AOC3,d0,-0.791388873,3
AOC3,d7,1.278626111,3
AOC3,d12,0.741904699,3
AOC3,d19,0.701233542,3
AOC3,d26,-0.175329578,3
AOC3,d33,1.20160766,3
AOC3,d49,-0.554544827,3
AOC3,d63,-1.079639214,3
AOC3,d77,-1.32246952,3
APBA2,d0,-1.292889265,3
APBA2,d7,2.045867504,3
APBA2,d12,0.466537734,3
APBA2,d19,0.367352742,3
APBA2,d26,0.644759889,3
APBA2,d33,-0.627851663,3
APBA2,d49,-0.263497971,3
APBA2,d63,-0.749951599,3
APBA2,d77,-0.590327371,3
C2,d0,-1.734947452,3
C2,d7,2.091757998,3
C2,d12,-0.467002409,3
C2,d19,0.293439413,3
C2,d26,-0.370329248,3
C2,d33,0.234242375,3
C2,d49,0.207512786,3
C2,d63,0.01895714,3
C2,d77,-0.273630601,3
CA14,d0,-2.452380316,3
CA14,d7,0.395197896,3
CA14,d12,0.640177561,3
CA14,d19,0.053007425,3
CA14,d26,1.071431506,3
CA14,d33,0.269770224,3
CA14,d49,0.135718801,3
CA14,d63,0.236348512,3
CA14,d77,-0.349271609,3
CA4,d0,-1.268985809,3
CA4,d7,1.476192811,3
CA4,d12,1.736627303,3
CA4,d19,0.029025137,3
CA4,d26,-0.736495554,3
CA4,d33,-0.545823218,3
CA4,d49,0.046883608,3
CA4,d63,-0.169502562,3
CA4,d77,-0.567921717,3
ENO2,d0,-1.765028895,3
ENO2,d7,0.006402362,3
ENO2,d12,0.449518779,3
ENO2,d19,0.177742942,3
ENO2,d26,1.965199007,3
ENO2,d33,0.415363084,3
ENO2,d49,-0.16923635,3
ENO2,d63,-0.491814349,3
ENO2,d77,-0.58814658,3
ESR2,d0,0.005161391,3
ESR2,d7,1.286712178,3
ESR2,d12,-0.626072646,3
ESR2,d19,-0.175207617,3
ESR2,d26,0.272109016,3
ESR2,d33,-0.192653615,3
ESR2,d49,1.525563973,3
ESR2,d63,-0.245503391,3
ESR2,d77,-1.850109289,3
FOS,d0,-1.778397959,3
FOS,d7,-0.293217313,3
FOS,d12,1.593845901,3
FOS,d19,-0.179600609,3
FOS,d26,-0.971262377,3
FOS,d33,-0.205171015,3
FOS,d49,0.702956327,3
FOS,d63,0.392619731,3
FOS,d77,0.738227315,3
FYN,d0,-2.291005771,3
FYN,d7,0.244652131,3
FYN,d12,0.719056255,3
FYN,d19,-0.132705321,3
FYN,d26,-0.253818662,3
FYN,d33,0.201396327,3
FYN,d49,1.376260795,3
FYN,d63,-0.204348389,3
FYN,d77,0.340512635,3
GAB2,d0,-1.526281685,3
GAB2,d7,1.31148393,3
GAB2,d12,0.753729081,3
GAB2,d19,1.4225389,3
GAB2,d26,-0.433856393,3
GAB2,d33,0.121913071,3
GAB2,d49,-0.217673898,3
GAB2,d63,-0.919853036,3
GAB2,d77,-0.51199997,3
GDNF,d0,-0.402205525,3
GDNF,d7,-0.463199934,3
GDNF,d12,2.324701312,3
GDNF,d19,0.970720473,3
GDNF,d26,-0.220032366,3
GDNF,d33,-0.505838472,3
GDNF,d49,-0.521202656,3
GDNF,d63,-0.619095923,3
GDNF,d77,-0.563846909,3
GLUL,d0,-2.211012386,3
GLUL,d7,0.3567319,3
GLUL,d12,0.770172908,3
GLUL,d19,0.166370269,3
GLUL,d26,-1.107508211,3
GLUL,d33,0.425238019,3
GLUL,d49,0.788300995,3
GLUL,d63,0.35551834,3
GLUL,d77,0.456188167,3
GPC1,d0,-2.131834189,3
GPC1,d7,0.671867879,3
GPC1,d12,0.170238984,3
GPC1,d19,0.325014607,3
GPC1,d26,-0.942225931,3
GPC1,d33,0.113948981,3
GPC1,d49,0.264716577,3
GPC1,d63,0.159734992,3
GPC1,d77,1.3685381,3
GRIA1,d0,-1.848586133,3
GRIA1,d7,1.421493617,3
GRIA1,d12,-0.243028631,3
GRIA1,d19,0.176161309,3
GRIA1,d26,1.465347958,3
GRIA1,d33,-0.050684267,3
GRIA1,d49,-0.36026298,3
GRIA1,d63,-0.413148142,3
GRIA1,d77,-0.147292731,3
HSPB2,d0,-0.026075575,3
HSPB2,d7,2.092736057,3
HSPB2,d12,-0.726046761,3
HSPB2,d19,-0.219262416,3
HSPB2,d26,-0.795916336,3
HSPB2,d33,-1.016599491,3
HSPB2,d49,-0.457242959,3
HSPB2,d63,0.069670482,3
HSPB2,d77,1.078737,3
LRP2,d0,-0.764107338,3
LRP2,d7,2.425362981,3
LRP2,d12,0.456703174,3
LRP2,d19,-0.025122755,3
LRP2,d26,0.103909843,3
LRP2,d33,-0.30325026,3
LRP2,d49,-0.503384361,3
LRP2,d63,-0.661987841,3
LRP2,d77,-0.728123444,3
MAP2,d0,-2.101233468,3
MAP2,d7,0.823373811,3
MAP2,d12,1.361585452,3
MAP2,d19,-0.141844024,3
MAP2,d26,0.44261103,3
MAP2,d33,-0.417365243,3
MAP2,d49,0.675189287,3
MAP2,d63,-0.304209929,3
MAP2,d77,-0.338106917,3
MFI2,d0,-1.727606448,3
MFI2,d7,0.568952397,3
MFI2,d12,0.103353254,3
MFI2,d19,2.069074395,3
MFI2,d26,-0.227860527,3
MFI2,d33,-0.383156397,3
MFI2,d49,-0.444415595,3
MFI2,d63,-0.016695108,3
MFI2,d77,0.058354027,3
NOS3,d0,0.007571019,3
NOS3,d7,0.856224842,3
NOS3,d12,-0.250573317,3
NOS3,d19,1.094117914,3
NOS3,d26,0.328016487,3
NOS3,d33,1.306872857,3
NOS3,d49,-0.716887164,3
NOS3,d63,-0.972605124,3
NOS3,d77,-1.652737513,3
NPY,d0,-0.645868256,3
NPY,d7,2.167287623,3
NPY,d12,-0.064256232,3
NPY,d19,-0.514157846,3
NPY,d26,-0.603672225,3
NPY,d33,-0.68377624,3
NPY,d49,-0.592171317,3
NPY,d63,-0.237373659,3
NPY,d77,1.173988151,3
PSEN1,d0,-2.250607867,3
PSEN1,d7,1.238328234,3
PSEN1,d12,0.496227088,3
PSEN1,d19,0.063554372,3
