Gene_Symbol,Day,Value,Cluster
GAD1,d26,-0.348191361,5
GAD1,d33,-0.100251924,5
GAD1,d49,1.226312513,5
GAD1,d63,1.727456254,5
GAD1,d77,0.767928706,5
IMMP2L,d0,-2.020463888,5
IMMP2L,d7,0.260715933,5
IMMP2L,d12,-0.637425605,5
IMMP2L,d19,-0.111982556,5
IMMP2L,d26,0.176426942,5
IMMP2L,d33,-0.353124957,5
IMMP2L,d49,0.222828953,5
IMMP2L,d63,1.541495191,5
IMMP2L,d77,0.921529988,5
ITGB3,d0,-0.762685757,5
ITGB3,d7,-1.43007296,5
ITGB3,d12,-1.243378825,5
ITGB3,d19,-0.039641468,5
ITGB3,d26,-0.338242409,5
ITGB3,d33,1.055710427,5
ITGB3,d49,0.865551236,5
ITGB3,d63,0.778662405,5
ITGB3,d77,1.114097349,5
LRFN1,d0,-0.961443933,5
LRFN1,d7,-0.614285086,5
LRFN1,d12,-1.229484784,5
LRFN1,d19,-0.187016237,5
LRFN1,d26,-0.678053771,5
LRFN1,d33,0.064413431,5
LRFN1,d49,1.022918774,5
LRFN1,d63,1.682361441,5
LRFN1,d77,0.900590166,5
LRFN2,d0,-1.101284897,5
LRFN2,d7,-1.216816945,5
LRFN2,d12,-1.080737094,5
LRFN2,d19,-0.240309398,5
LRFN2,d26,-0.172011965,5
LRFN2,d33,0.39160576,5
LRFN2,d49,1.139318809,5
LRFN2,d63,1.145540044,5
LRFN2,d77,1.134695685,5
MAOA,d0,-1.254006628,5
MAOA,d7,-0.756550226,5
MAOA,d12,-0.920960137,5
MAOA,d19,-0.506542957,5
MAOA,d26,-0.524434301,5
MAOA,d33,0.38091385,5
MAOA,d49,1.064356645,5
MAOA,d63,1.379351908,5
MAOA,d77,1.137871847,5
MECP2,d0,-1.970854814,5
MECP2,d7,-0.639216277,5
MECP2,d12,-0.326161973,5
MECP2,d19,-0.312721476,5
MECP2,d26,-0.1297082,5
MECP2,d33,0.408369315,5
MECP2,d49,1.024222756,5
MECP2,d63,0.539019203,5
MECP2,d77,1.407051467,5
NDN,d0,-1.566453938,5
NDN,d7,-1.124247373,5
NDN,d12,-0.747264508,5
NDN,d19,-0.27546244,5
NDN,d26,0.624774654,5
NDN,d33,0.430542464,5
NDN,d49,0.359400087,5
NDN,d63,1.537357619,5
NDN,d77,0.761353434,5
OXTR,d0,-1.011096699,5
OXTR,d7,-1.062425967,5
OXTR,d12,-0.772958352,5
OXTR,d19,-0.667641421,5
OXTR,d26,-0.655830423,5
OXTR,d33,0.916202513,5
OXTR,d49,1.079772877,5
OXTR,d63,1.146929415,5
OXTR,d77,1.027048057,5
SCN1A,d0,-1.302566714,5
SCN1A,d7,-0.773624383,5
SCN1A,d12,1.100921383,5
SCN1A,d19,-1.125925849,5
SCN1A,d26,0.303149712,5
SCN1A,d33,-0.869179749,5
SCN1A,d49,0.954029459,5
SCN1A,d63,0.85324708,5
SCN1A,d77,0.859949061,5
SEZ6L2,d0,-1.161056279,5
SEZ6L2,d7,-0.778907669,5
SEZ6L2,d12,-1.26799929,5
SEZ6L2,d19,-0.519183465,5
SEZ6L2,d26,-0.18573249,5
SEZ6L2,d33,0.738657917,5
SEZ6L2,d49,0.975245285,5
SEZ6L2,d63,0.768644872,5
SEZ6L2,d77,1.430331119,5
SHANK1,d0,-1.449932756,5
SHANK1,d7,0.844562363,5
SHANK1,d12,-1.074037834,5
SHANK1,d19,-0.868188455,5
SHANK1,d26,-0.11453543,5
SHANK1,d33,-0.339095571,5
SHANK1,d49,1.207000341,5
SHANK1,d63,0.69398676,5
SHANK1,d77,1.100240582,5
STK39,d0,-0.458498601,5
STK39,d7,-1.519754094,5
STK39,d12,-1.277275811,5
STK39,d19,-0.33515609,5
STK39,d26,0.18255854,5
STK39,d33,0.270375244,5
STK39,d49,1.188301296,5
STK39,d63,1.37328238,5
STK39,d77,0.576167136,5
TSGA14,d0,-1.51350596,5
TSGA14,d7,-0.98076138,5
TSGA14,d12,-0.77084019,5
TSGA14,d19,0.207386988,5
TSGA14,d26,0.0147855,5
TSGA14,d33,-0.071425249,5
TSGA14,d49,0.771166407,5
TSGA14,d63,1.790024896,5
TSGA14,d77,0.553168989,5
AFF2,d0,-0.816657488,6
AFF2,d7,-1.555505821,6
AFF2,d12,-0.578247583,6
AFF2,d19,-0.292267765,6
AFF2,d26,0.06038152,6
AFF2,d33,-0.098161422,6
AFF2,d49,0.853228085,6
AFF2,d63,0.578525547,6
AFF2,d77,1.848704927,6
ANK3,d0,-0.528175205,6
ANK3,d7,-0.70869848,6
ANK3,d12,-0.565379417,6
ANK3,d19,-0.779034189,6
ANK3,d26,-0.603132464,6
ANK3,d33,-0.423175918,6
ANK3,d49,0.355780374,6
ANK3,d63,1.21624218,6
